Adipose_Subcutaneous	Adipose_Visceral_Omentum	Adrenal_Gland	Artery_Aorta	Artery_Coronary	Artery_Tibial	Brain_Amygdala	Brain_Anterior_cingulate_cortex_BA24	Brain_Caudate_basal_ganglia	Brain_Cerebellar_Hemisphere	Brain_Cerebellum	Brain_Cortex	Brain_Frontal_Cortex_BA9	Brain_Hippocampus	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Putamen_basal_ganglia	Brain_Spinal_cord_cervical_c_1	Brain_Substantia_nigra	Breast_Mammary_Tissue	Cells_Cultured_fibroblasts	Cells_EBV_transformed_lymphocytes	Colon_Sigmoid	Colon_Transverse	Esophagus_Gastroesophageal_Junction	Esophagus_Mucosa	Esophagus_Muscularis	Heart_Atrial_Appendage	Heart_Left_Ventricle	Kidney_Cortex	Liver	Lung	Minor_Salivary_Gland	motor_neuron	Muscle_Skeletal	Nerve_Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Small_Intestine_Terminal_Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole_Blood
isoform1=junction:chr1:8037799-8044953:+|isoform2=junction:chr1:8037799-8044923:+|PARK7|A3SS	0.040219813537482	0.0396387772610286	0.0397834459477114	0.0389494985555217	0.0386641689540887	0.0394140080715447	0.0373521061352866	0.0388914012533109	0.0398874550156544	0.0404533955057294	0.0387927285378794	0.0385660801442675	0.039564078655075	0.0383653248349023	0.0380102201753833	0.0391367959034382	0.0390830401277873	0.038644515160868	0.0381373946532623	0.0394195213842182	0.0429181529334712	0.0429294124701375	0.0388348481866966	0.0400570038486675	0.0394585199794523	0.0401964938713373	0.0395116511440482	0.0403804572848139	0.0392845263155339	0.0371028998945724	0.0383694214724936	0.0394800117203139	0.0407801556875942	0.023732536147886	0.0411949540983176	0.0383546710463869	0.0388969273980764	0.0398470692544626	0.0379562164122515	0.0377471564438205	0.0386507356138921	0.0385865716799348	0.0389696863500964	0.0386307090812156	0.038910477468085	0.0411552373606129	0.0378115124316368	0.0389194508525981	0.0393197125333935	0.0399635223409141
isoform1=junction:chr1:156027859-156028105:+|isoform2=junction:chr1:156027859-156028068:+|LAMTOR2|A3SS	0.00549041986580895	0.00524879076672573	0.00511494000906075	0.00545509486775769	0.0053238900532389	0	0.00528066528066528	0.00487365223486998	0.00537039217995525	0	0	0.0048637649511142	0.00528254862653736	0.00504123006013467	0.00587180913529884	0.0053786472464182	0.00502086798255248	0	0.00515005384147198	0.00535556397625363	0.00490085624155025	0.00446957772207	0.00576474356041543	0.00519391461153582	0.0048896839594514	0.0055442782154578	0.0056057992634376	0.00553197938769324	0.00497204127514844	0.0050496256312032	0.00529862077692016	0.00590410246854251	0.00514596734289955	0	0	0.00606119855313325	0	0.00487824303605918	0.00572777052260178	0.00673623358808544	0.0059510185397116	0.0054514895803398	0.00610036479568376	0.00661950679734429	0.00541675025849164	0	0.00551052149103382	0.00665795532325306	0.00606610622850592	0
isoform1=junction:chr1:225971071-225976960:+|isoform2=junction:chr1:225971071-225976941:+|SRP9|A3SS	0.966971472597879	0.967320484684946	0.965504418757368	0.974018407224782	0.972963345563353	0.975487840046141	0.966232444534907	0.963049282374286	0.968040464593481	0.973013679701534	0.973086161236682	0.964292801859779	0.965043888941895	0.967214104576742	0.965092703422332	0.965154471143161	0.965598845598846	0.964216876070817	0.961314730580826	0.966946526736632	0.973124934848327	0.976317971007999	0.979376960951363	0.976171661869015	0.979126733215504	0.976195918367347	0.98047022806233	0.97379158502838	0.975745593943631	0.971714757270502	0.969942138616837	0.966732165274821	0.972341585778166	0.958033311513565	0.955148000569233	0.960831600831601	0.966705573387803	0.97344398340249	0.960979506559744	0.975016422158966	0.974110234255591	0.973986517683997	0.972813238770686	0.972800324469568	0.974103828129755	0.960826401931849	0.966951065539274	0.969847796292289	0.972422892957282	1
isoform1=junction:chr1:228334640-228335110:+|isoform2=junction:chr1:228334640-228335106:+|GUK1|A3SS	0.965799535610827	0.964861796058095	0.96801559461277	0.97154257202893	0.971413700604556	0.968746723546833	0.982576925576093	0.982015598185981	0.983905791934078	0.961237922937757	0.957987067753725	0.977725182580471	0.979076797740853	0.977494591118282	0.976911697960968	0.985142980235877	0.982646393955346	0.971340496997368	0.975831106875338	0.964871189563558	0.98255468815885	0.978230985350191	0.965145736647827	0.96794710698673	0.968673690441865	0.974678106200196	0.967855682302679	0.971040589085814	0.974722903308144	0.969197158441483	0.97894750504572	0.955659393137903	0.969793912100284	0.94112443483389	0.970176138160518	0.961232532532958	0.948851789540284	0.975065177419797	0.96773469937109	0.961688722885876	0.957408153833243	0.959247000624477	0.965891565228327	0.95930241064331	0.971354106425471	0.96400945050625	0.965562265064191	0.96316107251282	0.962994714494974	0.968256513425225
isoform1=junction:chr1:228335246-228335321:+|isoform2=junction:chr1:228335246-228335315:+|GUK1|A3SS	0.973698882622783	0.974104512090272	0.97498936755485	0.972587006334703	0.972318126459514	0.972984316255432	0.971298644156597	0.970860487410183	0.972753782832941	0.973355388367536	0.972303969812335	0.971002198698603	0.97246314436619	0.970698075879485	0.971846919878654	0.973319032101556	0.972779998050492	0.9708231254057	0.971321981140712	0.97457047991859	0.975843643847165	0.974679267503934	0.973368823516669	0.973894064593931	0.974095711508126	0.974141675670318	0.97413925824299	0.975341388356638	0.975518204804476	0.973389710350415	0.972369876982491	0.974509801321518	0.9752643575085	0.975062747955631	0.973884516761042	0.972449955354033	0.974723428535201	0.973400238473768	0.974096974303981	0.973737945904463	0.973782476601948	0.973935511624508	0.973004535287503	0.974046899228164	0.973447079315878	0.977441036051151	0.974125973795726	0.973086346706719	0.974072755576741	0.974459261242067
isoform1=junction:chr1:228328065-228329333:+|isoform2=junction:chr1:228328065-228328824:+|GUK1|A3SS	1	1	1	1	0.995758848943676	0.995869065913184	0.998699689455246	0.998760599329987	0.998904096534801	0.998827073281263	0.99851253718657	0.999024919739856	0.99880945879526	0.998740664081495	1	0.998973376223393	0.998623548397304	0.998211424525841	0.998420416886053	1	1	1	1	1	1	1	1	1	1	0.997330237957052	1	1	1	1	0.997967866140609	0.997765465034088	1	1	1	1	0.995633242100025	1	1	1	1	1	1	1	1	0.997395362297869
isoform1=junction:chr1:228328065-228333211:+|isoform2=junction:chr1:228328065-228333192:+|GUK1|A3SS	0.00595920569617204	0.00501665582821272	0.00439385231465174	0.00401757689893283	0.00425321565760069	0.00442101025116913	0.00477411893783267	0.00463637751773345	0.00445769616815257	0.00432615767979511	0.00511461211080415	0.00441874420380776	0.00447502089629011	0.0055312879629869	0.00408341262289883	0.0055837363847273	0.00463384989364935	0.00346012884427144	0.00428655628784225	0.00507961165048544	0.00411659083025567	0.00556877677296525	0.00392227177981487	0.00381774515135037	0.00421805250813346	0.0046869618604094	0.00391727456393331	0.00415786337288044	0.00352471214850787	0.00288500375050488	0.00350052860331258	0.00566765335167852	0.00408182637998956	0.00504637206764866	0.00481467449643241	0.00607007753601803	0.0060348948374761	0.00331021767823846	0.00483837402885683	0.00431642001409443	0.00607215985313846	0.00658672107219226	0.00465519376005943	0.0052886192194162	0.00380568296388861	0.00494352706924371	0.00449400263691031	0.00493883692025904	0.00510800163021329	0.0051371403617723
isoform1=junction:chr1:228333326-228333726:+|isoform2=junction:chr1:228333326-228333713:+|GUK1|A3SS	0.0178715708478635	0.0147145184903351	0.012298038084247	0.015666485600134	0.0142396222901178	0.0176108219104058	0.0149719880291442	0.0150233407612519	0.013087101420623	0.0221555136413145	0.0226450742240216	0.0162167932155207	0.0157496702142647	0.0171382688059528	0.0151378277926905	0.0133034259264997	0.0141220811293979	0.0180194126662229	0.0178091999284052	0.0173001353894925	0.0115733493210761	0.016351456435354	0.0162895350889233	0.014087395262553	0.0151214486444014	0.0122868445379913	0.0153121161511866	0.0137006274163053	0.0138541135487272	0.014845059120625	0.0100537856847331	0.018165282003133	0.0139577877060545	0.0232043220263927	0.0196668226916614	0.0212693482227505	0.0211418094455333	0.0119236546638039	0.0127293477306646	0.0169099621127702	0.0202665084467491	0.0208704478954127	0.0142746266152039	0.0143020643465728	0.0135272472402313	0.030463416107788	0.0148063854962079	0.0196769373890001	0.0157563502521925	0.0122790332233973
isoform1=junction:chr1:228334640-228335315:+|isoform2=junction:chr1:228334640-228335106:+|GUK1|A3SS	0.990076428321537	0.989220558084581	0.989378796604187	0.989901403571795	0.98967399830567	0.990280308347249	0.990272159265113	0.990517166124185	0.991130577061218	0.990317993575544	0.989948172077998	0.990852184060636	0.990884077707679	0.990333239595051	0.990384246694984	0.991067287896847	0.990513945031449	0.989962358845671	0.990607827897143	0.99012644231175	0.991357693071306	0.991603604703202	0.989886454320957	0.990318382376282	0.990513116216935	0.989907904671915	0.99085157413944	0.990274230816004	0.990933538829302	0.989629191904269	0.989939624622654	0.989637605297755	0.990381244829569	0.979038854805726	0.991250449559432	0.989440610545386	0.988858001333743	0.990035666518056	0.989115663273388	0.988858968557901	0.989630538290768	0.989905584308135	0.990342524788425	0.989217895075636	0.989968447565197	0.990138949368592	0.989523308538364	0.989706306416519	0.989718400732616	0.990846810193357
isoform1=junction:chr1:156020151-156020900:-|isoform2=junction:chr1:156020345-156020900:-|UBQLN4|A3SS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.968136205830599	0.974460590048437	1	1	1	0.972761664564943	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
